"Time index";"Average";"Build 1";"Build 2";"Build 3";"Build 4";"Build 5";"Build 6";"Build 7";"Build 8";"Build 9";"Build 10"
"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"0.25";"48.1531";"51.4654";"51.9247";"49.85";"46.4641";"48.7155";"46.0324";"48.8603";"44.1547";"48.5796";"45.4842"
"0.5";"72.0792";"76.2016";"78.1216";"74.1942";"71.3491";"71.4534";"72.3791";"71.0522";"66.4141";"71.4658";"68.1611"
"0.75";"90.1336";"98.1835";"97.9963";"95.6091";"86.9078";"88.4141";"88.1675";"87.582";"85.1026";"87.2284";"86.1447"
"1.0";"106.5832";"112.0982";"113.4416";"109.9387";"104.3378";"104.7204";"105.5576";"104.0664";"103.9188";"103.0773";"104.675"
"1.25";"120.8054";"122.5686";"127.2003";"121.1254";"121.1242";"121.5683";"120.7779";"117.5517";"117.4231";"121.399";"117.3155"
"1.5";"130.357";"131.9759";"136.2441";"130.3597";"128.3214";"129.6957";"131.6643";"128.2728";"128.6111";"130.786";"127.6393"
"1.75";"137.5456";"137.3569";"136.0775";"135.4416";"135.6416";"135.7026";"143.1783";"141.4253";"138.3147";"134.3417";"137.976"
"2.0";"149.5992";"146.5524";"151.6642";"144.1566";"150.0182";"148.641";"156.0606";"153.8202";"148.7771";"145.3278";"150.9734"
"2.25";"158.2843";"157.8309";"154.818";"155.8614";"159.3379";"159.6248";"161.7799";"161.071";"157.6339";"154.6076";"160.278"
"2.5";"161.9676";"166.9691";"163.9385";"163.4789";"160.9729";"162.9221";"161.509";"160.5447";"160.3177";"159.4229";"159.5997"
"2.75";"169.0429";"170.0206";"167.5379";"165.9255";"169.6224";"170.1258";"170.6408";"170.21";"167.2658";"173.1432";"165.9368"
"3.0";"181.4851";"172.3685";"178.473";"172.3145";"184.6284";"185.7534";"186.4748";"184.9974";"181.6338";"188.8386";"179.3682"
"3.25";"189.1819";"176.8473";"181.8048";"179.591";"191.6626";"193.8386";"195.8463";"193.1108";"192.3276";"197.041";"189.7486"
"3.5";"194.7086";"182.3803";"192.5905";"188.4317";"197.4344";"198.5844";"198.3327";"198.5732";"196.9604";"199.6969";"194.1017"
"3.75";"201.2281";"194.7905";"204.4512";"201.8821";"202.8771";"203.8326";"201.2105";"199.411";"203.3596";"201.8882";"198.578"
"4.0";"204.3446";"208.973";"205.3006";"206.2731";"204.1918";"205.5119";"203.8343";"201.7821";"204.2913";"203.6291";"199.6587"
"4.25";"207.4513";"210.7531";"210.7442";"207.9365";"207.7637";"210.6254";"206.0745";"204.1975";"207.5749";"205.5806";"203.2631"
"4.5";"213.7357";"214.0926";"214.3042";"211.5728";"219.3009";"218.4083";"209.0498";"214.9375";"220.5513";"208.2693";"206.8702"
"4.75";"217.782";"216.3667";"221.5946";"215.7677";"220.7364";"220.567";"213.0429";"216.2032";"227.3415";"210.4539";"215.7458"
"5.0";"220.8903";"218.5521";"224.5622";"222.5377";"222.2515";"222.9841";"216.2265";"219.3042";"229.4442";"212.7954";"220.2449"
"5.25";"224.6409";"223.9186";"226.8131";"226.6705";"226.4357";"226.0957";"221.8711";"221.6456";"232.3037";"217.9598";"222.6947"
"5.5";"230.5153";"227.5332";"240.3091";"230.3939";"229.8983";"234.8495";"231.7417";"223.9126";"234.8416";"226.4887";"225.1843"
"5.75";"249.142";"229.7733";"257.5806";"250.8831";"255.7817";"262.9979";"253.9294";"247.0575";"248.942";"255.9428";"228.5314"
"6.0";"264.7966";"242.2093";"264.8754";"260.2063";"270.1044";"275.1917";"271.1906";"261.6912";"268.8073";"270.2081";"263.4813"
"6.25";"275.724";"256.7427";"267.8599";"264.4463";"279.1525";"293.4813";"277.9822";"283.1065";"277.2452";"279.8046";"277.419"
"6.5";"281.5719";"263.5911";"268.8781";"265.4749";"280.399";"317.0088";"283.2225";"294.4111";"279.8485";"282.9696";"279.915"
"6.75";"297.7708";"266.7798";"278.9787";"278.504";"305.4504";"339.9156";"310.8324";"303.039";"302.359";"307.0811";"284.7685"
"7.0";"317.8097";"267.5352";"287.9153";"292.8573";"334.0551";"356.2383";"336.7459";"328.3271";"328.7856";"333.2902";"312.3473"
"7.25";"329.5544";"270.4011";"291.781";"298.4989";"349.7995";"365.324";"344.5019";"346.7385";"345.5662";"347.5674";"335.3654"
"7.5";"336.4692";"281.7768";"296.5642";"299.261";"356.5855";"372.2317";"345.8909";"356.2923";"355.6238";"351.1757";"349.2898"
"7.75";"342.667";"289.823";"305.2979";"303.5457";"364.1989";"381.8788";"346.1379";"362.696";"362.3884";"353.2878";"357.4155"
"8.0";"348.1615";"292.7995";"316.5306";"310.9367";"372.1889";"386.7475";"346.2381";"365.3819";"371.6436";"353.9822";"365.1655"
"8.25";"352.2675";"295.533";"322.9507";"319.8214";"376.2667";"389.5325";"349.7484";"366.0004";"375.3094";"354.0494";"373.4636"
"8.5";"355.2005";"300.9364";"324.6594";"323.9972";"379.2708";"391.0018";"351.5794";"368.1055";"378.9692";"356.4081";"377.077"
"8.75";"358.4724";"309.6204";"332.0709";"329.9105";"380.8917";"391.8684";"352.5663";"369.5878";"380.6145";"357.6327";"379.9608"
"9.0";"362.5955";"318.6903";"346.4397";"341.7788";"381.6774";"393.3289";"353.0251";"370.0461";"381.0321";"358.8217";"381.1151"
"9.25";"369.3127";"323.7262";"364.1753";"359.173";"385.9478";"402.9331";"358.0816";"372.8012";"382.4754";"362.6621";"381.1515"
"9.5";"262.7132";"327.1527";"0.0";"0.0";"397.2324";"0.0";"371.4004";"380.7766";"393.2096";"373.1533";"384.2068"
