"Time index";"Average";"Build 1";"Build 2";"Build 3";"Build 4";"Build 5"
"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"0.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"0.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"0.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"1.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"1.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"1.75";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"2.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"2.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"2.75";"0.1074";"0.537";"0.0";"0.0";"0.0";"0.0"
"3.0";"0.2";"1.0";"0.0";"0.0";"0.0";"0.0"
"3.25";"0.3152";"1.0";"0.0";"0.2897";"0.2862";"0.0"
"3.5";"0.6671";"1.0";"0.3356";"1.0";"1.0";"0.0"
"3.75";"0.9047";"1.0";"1.0";"1.0";"1.0";"0.5233"
"4.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"4.25";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"4.5";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"4.75";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"5.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"5.25";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"5.5";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"5.75";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"6.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"6.25";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"6.5";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"6.75";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"7.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"7.25";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"7.5";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"7.75";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"8.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"8.25";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"8.5";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"8.75";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
