"Time index";"Average";"Build 1";"Build 2";"Build 3";"Build 4";"Build 5";"Build 6";"Build 7";"Build 8";"Build 9";"Build 10"
"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"0.25";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"0.5";"0.5702";"0.5176";"0.3768";"0.5486";"0.6194";"0.5553";"0.6307";"0.5765";"0.6357";"0.6093";"0.632"
"0.75";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"1.25";"1.028";"1.0";"1.2798";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"1.5";"1.5327";"1.4021";"2.0";"1.4299";"1.5029";"1.4604";"1.5378";"1.4448";"1.536";"1.5097";"1.5031"
"1.75";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0"
"2.0";"2.0209";"2.0";"2.2086";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0";"2.0"
"2.25";"2.4541";"2.3148";"3.0";"2.3515";"2.4045";"2.3707";"2.4602";"2.3392";"2.4363";"2.4434";"2.42"
"2.5";"3.0";"3.0";"3.0";"3.0";"3.0";"3.0";"3.0";"3.0";"3.0";"3.0";"3.0"
"2.75";"3.1616";"3.2462";"3.1198";"3.2828";"3.0";"3.3129";"3.0";"3.2649";"3.0";"3.3895";"3.0"
"3.0";"3.7367";"4.0";"4.0";"4.0";"3.3097";"4.0";"3.3765";"4.0";"3.3473";"4.0";"3.3336"
"3.25";"4.0";"4.0";"4.0";"4.0";"4.0";"4.0";"4.0";"4.0";"4.0";"4.0";"4.0"
"3.5";"4.1032";"4.1515";"4.0393";"4.1688";"4.0";"4.2177";"4.0";"4.1575";"4.0";"4.2974";"4.0"
"3.75";"4.7022";"5.0";"5.0";"5.0";"4.2091";"5.0";"4.293";"5.0";"4.2662";"5.0";"4.254"
"4.0";"5.0";"5.0";"5.0";"5.0";"5.0";"5.0";"5.0";"5.0";"5.0";"5.0";"5.0"
"4.25";"5.1092";"5.0201";"5.0";"5.0796";"5.1616";"5.1183";"5.2239";"5.0718";"5.2064";"5.21";"5.0"
"4.5";"5.9048";"5.9872";"5.8994";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0";"5.1612"
"4.75";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0";"6.0"
"5.0";"6.0452";"6.0";"6.0";"6.0";"6.0781";"6.0195";"6.1376";"6.0";"6.1222";"6.0948";"6.0"
"5.25";"6.8639";"6.8978";"6.789";"6.9522";"7.0";"6.9957";"7.0";"6.9397";"7.0";"7.0";"6.0646"
"5.5";"7.0";"7.0";"7.0";"7.0";"7.0";"7.0";"7.0";"7.0";"7.0";"7.0";"7.0"
"5.75";"7.0797";"7.0";"7.7219";"7.0";"7.0";"7.0";"7.0337";"7.0";"7.0242";"7.0";"7.0176"
"6.0";"7.9303";"7.8112";"8.0";"7.8492";"7.9655";"7.8898";"8.0";"7.858";"7.985";"7.948";"7.9961"
"6.25";"8.0";"8.0";"8.0";"8.0";"8.0";"8.0";"8.0";"8.0";"8.0";"8.0";"8.0"
"6.5";"8.7498";"8.7634";"8.6336";"8.795";"8.9162";"8.822";"8.9581";"8.8068";"8.9244";"8.8781";"8.0"
"6.75";"8.992";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"8.9201"
"7.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0";"9.0"
"7.25";"9.7585";"9.6806";"9.5543";"9.7177";"9.8008";"9.7371";"9.8523";"9.7396";"9.8425";"9.8005";"9.8598"
"7.5";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0"
"7.75";"10.0493";"10.0";"10.4933";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0";"10.0"
"8.0";"10.7204";"10.5679";"11.0";"10.6351";"10.6884";"10.6292";"10.7806";"10.6669";"10.7609";"10.7077";"10.7677"
"8.25";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0"
"8.5";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0";"11.0"
"8.75";"11.575";"11.4524";"11.3551";"11.5465";"11.5963";"11.5329";"11.7109";"11.5734";"11.6621";"11.6413";"11.679"
"9.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0"
"9.25";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0";"12.0"
"9.5";"8.7355";"12.0";"0.0";"0.0";"12.5055";"0.0";"12.6179";"12.4858";"12.5745";"12.5677";"12.6041"
